pub_date,headline,happs_score
2020-12-09,Iran Claims Arrests in Killing of Top Nuclear Scientist,4.455555555555556
2020-12-03,"As the U.K. claims bragging rights for the best vaccine regulators (yes, really), U.S. officials beg to differ.",5.134545454545455
2020-12-02,"Is China Laying Claim to Kimchi, Too? Some South Koreans Think So",5.371111111111111
2020-11-28,Ethiopia Claims Victory in Tigray Conflict After Shelling Restive Region’s Capital,5.383333333333334
2020-11-27,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",5.133
2020-11-26,"The military’s role in a vaccine will be strictly behind the scenes, despite Trump’s claims.",5.133
2020-11-25,Unemployment claims in the U.S. jumped last week as virus cases surged.,4.382
2020-11-19,"There were 743,000 new state claims for unemployment insurance filed in the U.S. last week.",4.868333333333334
2020-11-11,BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled,5.268
2020-11-08,Azerbaijan Claims Capture of Key Town in Nagorno-Karabakh,5.173333333333333
2020-10-22,"New state unemployment claims in the U.S. fell below 800,000 last week.",4.533333333333334
2020-10-20,"1,300 Prisoners Escape From Congo Jail After an Attack Claimed by ISIS",4.1933333333333325
2020-10-15,"Nearly 900,000 people in the U.S. filed new state unemployment claims last week.",4.942
2020-10-14,Fauci takes issue with Trump’s end-of-year vaccine claims.,5.079999999999999
2020-10-11,Trump claims he is now immune to the coronavirus and unable to spread it. Twitter labels his post misleading.,5.125714285714286
2020-10-08,Jobless claims in the U.S. remain well above pre-pandemic levels.,5.56
2020-10-01,Unemployment claims in the U.S. show little relief from pandemic layoffs.,5.025
2020-09-29,"The pandemic is far from over, experts say, despite Trump allies’ claims.",5.111428571428571
2020-08-10,Belarus’s Leader Vows to Crush Protests After Claiming Landslide Election Win,5.5857142857142845
2020-07-28,Trump Falsely Claims Much of U.S. Is ‘Corona-Free’,5.176
2020-07-13,U.S. Says Most of China’s Claims in South China Sea Are Illegal,5.318
2020-06-15,Pence Tells Governors to Repeat Misleading Claim on Outbreaks,5.156666666666666
2020-06-05,Coronavirus Claims Some of World War II’s Last Witnesses,4.502857142857144
2020-05-05,Venezuela Claims 2 Americans Were Captured in Failed Invasion,4.294285714285714
2020-05-03,Venezuelan Officials Claim to Have Stopped an Armed Incursion,4.7542857142857144
2020-05-02,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,4.13
2020-03-31,North Korea Claims No Coronavirus Cases. Can It Be Trusted?,5.054285714285713
2020-03-31,"China Chases Indonesia’s Fishing Fleets, Staking Claim to Sea’s Riches",5.826
2020-02-18,"Ghani Named Afghan Election Winner. His Opponent Claims Victory, Too.",4.9879999999999995
2020-02-07,"Taliban Militant Flees Prison, Claiming Deal With Pakistani Security Forces",5.58
2020-02-02,Al Qaeda Claims It Directed Florida Naval Base Shooting,4.985
2020-01-30,"In India, Protesters and Modi Tussle Over Who Can Claim Gandhi",5.028571428571429
2020-01-28,Trump Plan’s First Result: Israel Will Claim Sovereignty Over Part of West Bank,5.483636363636363
2020-01-10,Bomb Blast Claimed by ISIS Kills at Least 15 in Pakistan Mosque Used by Taliban,4.205454545454546
2020-01-05,"Venezuela’s Maduro Claims Control of National Assembly, Tightening Grip on Power",5.532857142857142
2020-01-05,"Venezuela’s Maduro Claims Control of National Assembly, Consolidating Grip on Power",5.532857142857142
2020-12-21,China Long Avoided Discussing Mental Health. The Pandemic Changed That.,4.960000000000001
2020-11-23,A C.D.C. advisory group discussed which Americans should get vaccines first.,5.515000000000001
2020-07-17,"E.U. Leaders Meet to Discuss Virus Rescue Plan, With Obstacles Ahead",5.4625
2020-06-24,"Pilots Discussed Coronavirus, Ignoring Alerts Before Pakistan Crash, Officials Say",5.116666666666667
2020-06-05,Discussing Race and America’s Protests From Abroad,5.52
2020-03-09,Trump to Discuss Economic Steps; Italy Halts Most Travel; Stocks and Oil Prices Plunge,5.384
2020-01-23,Trump Invites Netanyahu to White House to Discuss Middle East Peace Plan,5.9
2020-01-10,"U.S. Says It Won’t Discuss Withdrawing Troops From Iraq, Defying Baghdad’s Request",5.323333333333333
2020-12-28,Chinese Citizen Journalist Sentenced to 4 Years for Covid Reporting,5.175
2020-12-26,France and Japan report cases of the virus variant that prompted lockdowns in Britain.,5.009090909090908
2020-12-25,"In a first for the Moderna vaccine, a doctor in Boston reported suffering a severe allergic reaction.",5.026153846153846
2020-12-23,3 Police Officers in France Are Killed After Responding to Domestic Abuse Report,4.569090909090909
2020-12-22,Number of Journalists Killed for Their Reporting Doubled in 2020,4.75
2020-12-16,"With 244,365 new cases reported in a single day, the U.S. enters new territory.",5.624
2020-12-14,"Russian Officers Were Near Navalny When He Was Poisoned, Report Says",5.122222222222223
2020-12-11,Secrecy surrounds the reporting of Covid-19 cases in college athletics.,5.4314285714285715
2020-12-11,Reporting on Indigenous Australia,5.6933333333333325
2020-12-10,Afghan War Casualty Report: December 2020,4.07
2020-12-10,A C.D.C. official says she was ordered to destroy an email showing a Trump appointee interfering with a report’s publication.,5.213333333333334
2020-12-03,"The global economy could suffer without equitable access to vaccines, a report finds.",4.736
2020-11-30,"NATO Needs to Adapt Quickly to Stay Relevant for 2030, Report Urges",5.301111111111111
2020-11-28,"U.S. coronavirus infections shoot past 13 million, even as the Thanksgiving holiday blurs state reporting.",5.2011111111111115
2020-11-26,South Korea reports its biggest one-day jump in cases in eight months.,5.406
2020-11-24,A Russian vaccine maker reports positive results based on an incomplete trial.,5.66
2020-11-23,Israeli Reports Say Netanyahu Met Saudi Crown Prince. Saudis Deny It.,5.1171428571428565
2020-11-20,A Chinese drugmaker reports progress on a vaccine candidate.,5.656666666666666
2020-11-18,"Children in the U.S. may miss 9 million vaccine doses this year, a report warns.",5.4622222222222225
2020-11-14,Sainted Too Soon? Vatican Report Cast John Paul II in Harsh New Light,5.515555555555555
2020-11-13,"911 Call Spurs Fear and Evacuation, but Montreal Police Report No Threat",4.279999999999999
2020-11-13,"Dominic Cummings, Powerful Aide to Boris Johnson, Resigns, Report Says",5.532000000000001
2020-11-10,Vatican Report Places Blame for McCarrick’s Ascent on John Paul II,5.004999999999999
2020-11-09,Shanghai reports a coronavirus case.,5.12
2020-11-09,France and Italy report record cases as virus ravages Europe.,5.047499999999999
2020-11-09,France and Italy report record cases as virus ravages Europe.,5.047499999999999
2020-11-05,"Two areas in Staten Island are reporting a concerning rise in cases, the mayor says.",5.3876923076923084
2020-11-02,British media report Prince William had Covid-19 in April.,5.454285714285715
2020-11-02,Australia reports no new cases for the first time in nearly five months.,5.44
2020-10-30,"New C.D.C. report shows how quickly the virus can spread within households, even when the first case is a child.",5.261176470588234
2020-10-29,A Top Aide to Saddam Hussein Is Reported Dead,4.5488888888888885
2020-10-29,"At least 116 attendees of school retreat in Wisconsin over the summer tested positive, C.D.C. report says.",5.205
2020-10-28,"M.T.A. service cuts could cost the New York metropolitan area 450,000 jobs by 2022, a report finds.",5.363076923076923
