abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"The Islamic State said it completed deadly strikes in response to a military assault to retake Ramadi, though Iraqi officials denied they suffered major casualties.",article,nyt://article/156abb4a-b238-53c5-b42d-c0fa4756bde1,"[{'name': 'Person', 'value': 'Gladstone, Rick', 'rank': 1}, {'name': 'Location', 'value': 'Iraq', 'rank': 2}, {'name': 'Person', 'value': 'Al-Jawoshy, Omar', 'rank': 3}, {'name': 'Location', 'value': 'Ramadi (Iraq)', 'rank': 4}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 5}, {'name': 'Person', 'value': 'Abadi, Haider al-', 'rank': 6}, {'name': 'Subject', 'value': 'Assaults', 'rank': 7}]",Foreign,8.0,A,2015-12-24 16:00:06+00:00,World,"The Islamic State said it completed deadly strikes in response to a military assault to retake Ramadi, though Iraqi officials denied they suffered major casualties.",The New York Times,Middle East,News,nyt://article/156abb4a-b238-53c5-b42d-c0fa4756bde1,https://www.nytimes.com/2015/12/25/world/middleeast/iraq-isis-ramadi.html,576,By Omar Al-Jawoshy and Rick Gladstone,ISIS Claims Major Counterattacks as Iraqi Forces Lay Siege to Ramadi,,"Amid Siege, ISIS Claims Deadly Strikes in Ramadi ",,,,0,0,,0,0,ISIS Claims Major Counterattacks as Iraqi Forces Lay Siege to Ramadi,"ISIS Claims Major Counterattacks as Iraqi Forces Lay Siege to Ramadi The Islamic State said it completed deadly strikes in response to a military assault to retake Ramadi, though Iraqi officials denied they suffered major casualties. The Islamic State said it completed deadly strikes in response to a military assault to retake Ramadi, though Iraqi officials denied they suffered major casualties."
From the International Herald Tribune archives: Hundreds of homeless died during a severe cold spell in Shanghai in 1940.,article,nyt://article/a4f24d55-b7ab-5526-81ad-7e2559d1c9d9,"[{'name': 'Subject', 'value': 'Death and Dying', 'rank': 1}, {'name': 'Subject', 'value': 'Homeless Persons', 'rank': 2}, {'name': 'Subject', 'value': 'World War II (1939-45)', 'rank': 3}, {'name': 'Location', 'value': 'Shanghai (China)', 'rank': 4}]",Foreign,,,2015-12-20 11:30:52+00:00,World,From the International Herald Tribune archives: Hundreds of homeless died during a severe cold spell in Shanghai in 1940.,The New York Times,,News,nyt://article/a4f24d55-b7ab-5526-81ad-7e2559d1c9d9,https://iht-retrospective.blogs.nytimes.com/2015/12/20/1940-extreme-cold-weather-in-shanghai-claims-hundreds-of-lives/,162,By International Herald Tribune,1940: Extreme Cold Weather in Shanghai Claims Hundreds of Lives,IHT Retrospective,,A blockade near the Shanghai North Railway Station in 1932.,Gallica,https://static01.nyt.com/images/2015/12/21/blogs/21iht-olddec21-shanghai/21iht-olddec21-shanghai-articleLarge.jpg,410,600,https://static01.nyt.com/images/2015/12/21/blogs/21iht-olddec21-shanghai/21iht-olddec21-shanghai-thumbStandard.jpg,75,75,1940: Extreme Cold Weather in Shanghai Claims Hundreds of Lives,1940: Extreme Cold Weather in Shanghai Claims Hundreds of Lives From the International Herald Tribune archives: Hundreds of homeless died during a severe cold spell in Shanghai in 1940. From the International Herald Tribune archives: Hundreds of homeless died during a severe cold spell in Shanghai in 1940.
U.S. soldiers accused Afghan police and Navy SEALs of abusing detainees. But the SEAL command opted against a court-martial and cleared its men of wrongdoing.,article,nyt://article/825aa0f0-df96-5b66-8b8e-6928fc791c89,"[{'name': 'Subject', 'value': 'Afghanistan War (2001-14)', 'rank': 1}, {'name': 'Subject', 'value': 'Detainees', 'rank': 2}, {'name': 'Subject', 'value': 'Torture', 'rank': 3}, {'name': 'Subject', 'value': 'United States Defense and Military Forces', 'rank': 4}, {'name': 'Subject', 'value': 'Interrogations', 'rank': 5}, {'name': 'Location', 'value': 'Afghanistan', 'rank': 6}, {'name': 'Organization', 'value': 'Navy Seals', 'rank': 7}, {'name': 'Organization', 'value': 'Afghan National Security Forces', 'rank': 8}, {'name': 'Person', 'value': 'David Walker', 'rank': 9}]",Foreign,1.0,A,2015-12-17 08:36:47+00:00,World,U.S. soldiers accused Afghan police and Navy SEALs of abusing detainees. But the SEAL command opted against a court-martial and cleared its men of wrongdoing.,The New York Times,Asia Pacific,News,nyt://article/825aa0f0-df96-5b66-8b8e-6928fc791c89,https://www.nytimes.com/2015/12/17/world/asia/navy-seal-team-2-afghanistan-beating-death.html,5437,"By Nicholas Kulish, Christopher Drew and Matthew Rosenberg","Navy SEALs, a Beating Death and Claims of a Cover-Up",,"Navy SEALs, a Beating Death and Claims of a Cover-Up",Afghan Local Police recruits ran through a smoke-filled ravine in 2012 during a training exercise in Kalach.,Petty Officer First Class Jacob Dillon/Department of Defense,https://static01.nyt.com/images/2015/12/06/world/06SEALS-2/06SEALS-2-articleLarge.jpg,425,600,https://static01.nyt.com/images/2015/12/06/world/06SEALS-2/06SEALS-2-thumbStandard.jpg,75,75,"Navy SEALs, a Beating Death and Claims of a Cover-Up","Navy SEALs, a Beating Death and Claims of a Cover-Up U.S. soldiers accused Afghan police and Navy SEALs of abusing detainees. But the SEAL command opted against a court-martial and cleared its men of wrongdoing. U.S. soldiers accused Afghan police and Navy SEALs of abusing detainees. But the SEAL command opted against a court-martial and cleared its men of wrongdoing."
Potential compensation for property seized in the Cuban Revolution has excited many. But what if Cuba approaches the talks with a much different claim in mind?,article,nyt://article/64e80bb4-3fa4-55f0-b8ad-c2afcb483150,"[{'name': 'Location', 'value': 'Cuba', 'rank': 1}, {'name': 'Person', 'value': 'Robles, Frances', 'rank': 2}, {'name': 'Subject', 'value': 'Cuban Missile Crisis (1962)', 'rank': 3}, {'name': 'Subject', 'value': 'Embargoes and Sanctions', 'rank': 4}, {'name': 'Subject', 'value': 'Reparations', 'rank': 5}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 6}, {'name': 'Organization', 'value': 'State Department', 'rank': 7}]",Foreign,4.0,A,2015-12-14 00:48:29+00:00,World,Potential compensation for property seized in the Cuban Revolution has excited many. But what if Cuba approaches the talks with a much different claim in mind?,The New York Times,Americas,News,nyt://article/64e80bb4-3fa4-55f0-b8ad-c2afcb483150,https://www.nytimes.com/2015/12/14/world/americas/talks-begin-in-cuba-on-confiscated-us-property-worth-billions.html,1301,By Frances Robles,"In Talks Over Seized U.S. Property, Havana Counters With Own Claim",Diplomatic Memo,Competing Claims in Havana,Children looked out of a window at the newly reopened United States embassy in August in Havana.,Ramon Espinosa/Associated Press,https://static01.nyt.com/images/2015/12/14/world/14CUBA1-WEB/14CUBA1-WEB-articleLarge.jpg,382,600,https://static01.nyt.com/images/2015/12/14/world/14CUBA1-WEB/14CUBA1-WEB-thumbStandard.jpg,75,75,"In Talks Over Seized U.S. Property, Havana Counters With Own Claim","In Talks Over Seized U.S. Property, Havana Counters With Own Claim Potential compensation for property seized in the Cuban Revolution has excited many. But what if Cuba approaches the talks with a much different claim in mind? Potential compensation for property seized in the Cuban Revolution has excited many. But what if Cuba approaches the talks with a much different claim in mind?"
"The militants said the bombing, which killed at least 22, was revenge against Shiites supporting President Bashar al-Assad in the Syrian civil war.",article,nyt://article/a2883a4b-b202-5ad5-9fcb-4e7663e299fa,"[{'name': 'Person', 'value': 'Masood, Salman', 'rank': 1}, {'name': 'Location', 'value': 'Pakistan', 'rank': 2}, {'name': 'Subject', 'value': 'Bombs and Explosives', 'rank': 3}, {'name': 'Organization', 'value': 'Lashkar-e-Jhangvi', 'rank': 4}, {'name': 'Location', 'value': 'Syria', 'rank': 5}, {'name': 'Person', 'value': 'Assad, Bashar al-', 'rank': 6}, {'name': 'Subject', 'value': 'Sunni Muslims', 'rank': 7}, {'name': 'Subject', 'value': 'Shiite Muslims', 'rank': 8}, {'name': 'Subject', 'value': 'Deaths (Fatalities)', 'rank': 9}, {'name': 'Organization', 'value': 'Taliban', 'rank': 10}]",Foreign,9.0,A,2015-12-13 15:37:40+00:00,World,"The militants said the bombing, which killed at least 22, was revenge against Shiites supporting President Bashar al-Assad in the Syrian civil war.",The New York Times,Asia Pacific,News,nyt://article/a2883a4b-b202-5ad5-9fcb-4e7663e299fa,https://www.nytimes.com/2015/12/14/world/asia/sunni-militants-claim-deadly-attack-at-market-in-pakistan.html,483,By Salman Masood,Sunni Militants Claim Deadly Attack at Market in Pakistan,,Sunni Extremists in Pakistan Kill at Least 22 in Bombing in Remote Shiite Town,"Lashkar-e-Jhangvi, a banned Sunni extremist group, claimed responsibility for the attack in the town of Parachinar, Pakistan. Some of the injured were transported from the scene on Sunday.",European Pressphoto Agency,https://static01.nyt.com/images/2015/12/13/world/asia/14PAKISTAN/14PAKISTAN-articleLarge.jpg,450,600,https://static01.nyt.com/images/2015/12/13/world/asia/14PAKISTAN/14PAKISTAN-thumbStandard.jpg,75,75,Sunni Militants Claim Deadly Attack at Market in Pakistan,"Sunni Militants Claim Deadly Attack at Market in Pakistan The militants said the bombing, which killed at least 22, was revenge against Shiites supporting President Bashar al-Assad in the Syrian civil war. The militants said the bombing, which killed at least 22, was revenge against Shiites supporting President Bashar al-Assad in the Syrian civil war."
"North Korea’s official news agency reported that Kim Jong-un said his country had developed a hydrogen bomb, which the White House and experts said was doubtful.",article,nyt://article/7943ea95-ea78-53ef-a96a-83d9edbe9dc9,"[{'name': 'Person', 'value': 'Sang-hun, Choe', 'rank': 1}, {'name': 'Location', 'value': 'North Korea', 'rank': 2}, {'name': 'Subject', 'value': 'Nuclear Weapons', 'rank': 3}, {'name': 'Person', 'value': 'Kim Jong-un', 'rank': 4}, {'name': 'Subject', 'value': 'Radiation', 'rank': 5}, {'name': 'Subject', 'value': 'News and News Media', 'rank': 6}, {'name': 'Organization', 'value': 'Institute for Science and International Security', 'rank': 7}]",Foreign,8.0,A,2015-12-10 21:01:11+00:00,World,"North Korea’s official news agency reported that Kim Jong-un said his country had developed a hydrogen bomb, which the White House and experts said was doubtful.",The New York Times,Asia Pacific,News,nyt://article/7943ea95-ea78-53ef-a96a-83d9edbe9dc9,https://www.nytimes.com/2015/12/11/world/asia/north-korea-kim-hydrogen-bomb.html,641,By Choe Sang-Hun,Kim Jong-Un’s Claim of North Korea Hydrogen Bomb Draws Skepticism,,World Briefing | Asia; North Korea: Skepticism About Bomb,"The North Korean leader, Kim Jong-un, center, in Pyongyang in undated photograph.","Korean Central News Agency, via Agence France-Presse — Getty Images",https://static01.nyt.com/images/2015/12/11/world/11nkorea_web1/11nkorea_web1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2015/12/11/world/11nkorea_web1/11nkorea_web1-thumbStandard.jpg,75,75,Kim Jong-Un’s Claim of North Korea Hydrogen Bomb Draws Skepticism,"Kim Jong-Un’s Claim of North Korea Hydrogen Bomb Draws Skepticism North Korea’s official news agency reported that Kim Jong-un said his country had developed a hydrogen bomb, which the White House and experts said was doubtful. North Korea’s official news agency reported that Kim Jong-un said his country had developed a hydrogen bomb, which the White House and experts said was doubtful."
"A suicide bomber attacked a Shiite mosque in Baghdad on Wednesday, killing at least 11 people.",article,nyt://article/6d4f49d0-784e-5e51-b5c4-3d49b05ccd3a,"[{'name': 'Subject', 'value': 'Terrorism', 'rank': 1}, {'name': 'Subject', 'value': 'Mosques', 'rank': 2}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 3}, {'name': 'Location', 'value': 'Iraq', 'rank': 4}]",Foreign,,,2015-12-10 04:11:06+00:00,World,"A suicide bomber attacked a Shiite mosque in Baghdad on Wednesday, killing at least 11 people.",The New York Times,Middle East,Brief,nyt://article/6d4f49d0-784e-5e51-b5c4-3d49b05ccd3a,https://www.nytimes.com/2015/12/10/world/middleeast/iraq-isis-claims-responsibility-for-deadly-attack-at-baghdad-mosque.html,70,By The Associated Press,Iraq: ISIS Claims Responsibility for Deadly Attack at Baghdad Mosque,World Briefing,Iraq: ISIS Claims Responsibility for Deadly Attack at Baghdad Mosque,,,,0,0,,0,0,Iraq: ISIS Claims Responsibility for Deadly Attack at Baghdad Mosque,"Iraq: ISIS Claims Responsibility for Deadly Attack at Baghdad Mosque A suicide bomber attacked a Shiite mosque in Baghdad on Wednesday, killing at least 11 people. A suicide bomber attacked a Shiite mosque in Baghdad on Wednesday, killing at least 11 people."
"The Obama administration’s response that it was reviewing reports of the launch of a medium-range ballistic missile, drew Democratic and Republican criticism.",article,nyt://article/9335aad4-d9b1-5342-9e5f-49509b96951f,"[{'name': 'Location', 'value': 'Iran', 'rank': 1}, {'name': 'Person', 'value': 'Sanger, David E', 'rank': 2}, {'name': 'Subject', 'value': 'Nuclear Weapons', 'rank': 3}, {'name': 'Subject', 'value': 'United States Defense and Military Forces', 'rank': 4}, {'name': 'Subject', 'value': 'Nuclear Tests', 'rank': 5}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 6}, {'name': 'Person', 'value': 'Obama, Barack', 'rank': 7}, {'name': 'Location', 'value': 'United States', 'rank': 8}, {'name': 'Person', 'value': 'Power, Samantha', 'rank': 9}, {'name': 'Person', 'value': 'Clinton, Hillary Rodham', 'rank': 10}, {'name': 'Organization', 'value': 'International Atomic Energy Agency', 'rank': 11}]",Foreign,19.0,A,2015-12-09 01:44:56+00:00,World,"The Obama administration’s response that it was reviewing reports of the launch of a medium-range ballistic missile, drew Democratic and Republican criticism.",The New York Times,Middle East,News,nyt://article/9335aad4-d9b1-5342-9e5f-49509b96951f,https://www.nytimes.com/2015/12/09/world/middleeast/us-cautious-on-iran-missile-test-claim.html,533,By David E. Sanger,U.S. Cautious on Iran Missile Test Claim,,U.S. Cautious on Iran Missile Test Claim,,,,0,0,,0,0,U.S. Cautious on Iran Missile Test Claim,"U.S. Cautious on Iran Missile Test Claim The Obama administration’s response that it was reviewing reports of the launch of a medium-range ballistic missile, drew Democratic and Republican criticism. The Obama administration’s response that it was reviewing reports of the launch of a medium-range ballistic missile, drew Democratic and Republican criticism."
"For the first time in years, government opponents have won most of the seats in the National Assembly, handing a setback to President Nicolás Maduro.",article,nyt://article/eb166ad9-373d-52da-8ed8-4a84686540e3,"[{'name': 'Person', 'value': 'Neuman, William', 'rank': 1}, {'name': 'Location', 'value': 'Venezuela', 'rank': 2}, {'name': 'Organization', 'value': 'Democratic Unity (Venezuela)', 'rank': 3}, {'name': 'Organization', 'value': 'United Socialist Party (Venezuela)', 'rank': 4}, {'name': 'Person', 'value': 'Maduro, Nicolas', 'rank': 5}, {'name': 'Person', 'value': 'Chavez, Hugo', 'rank': 6}, {'name': 'Subject', 'value': 'Elections', 'rank': 7}, {'name': 'Subject', 'value': 'Recession and Depression', 'rank': 8}, {'name': 'Subject', 'value': 'Polls and Public Opinion', 'rank': 9}]",Foreign,8.0,A,2015-12-07 00:42:04+00:00,World,"For the first time in years, government opponents have won most of the seats in the National Assembly, handing a setback to President Nicolás Maduro.",The New York Times,Americas,News,nyt://article/eb166ad9-373d-52da-8ed8-4a84686540e3,https://www.nytimes.com/2015/12/07/world/americas/venezuela-elections.html,860,By William Neuman,Venezuelan Opposition Claims a Rare Victory: A Legislative Majority,,Opposition Gains a Rare Victory in Venezuela Election,"Voters in Caracas, Venezuela, on Sunday. The opposition rode economic discontent to victories in congressional races.",Ariana Cubillos/Associated Press,https://static01.nyt.com/images/2015/12/07/world/VENEZUELA-FLOATER/VENEZUELA-FLOATER-articleLarge.jpg,400,600,https://static01.nyt.com/images/2015/12/07/world/VENEZUELA-FLOATER/VENEZUELA-FLOATER-thumbStandard.jpg,75,75,Venezuelan Opposition Claims a Rare Victory: A Legislative Majority,"Venezuelan Opposition Claims a Rare Victory: A Legislative Majority For the first time in years, government opponents have won most of the seats in the National Assembly, handing a setback to President Nicolás Maduro. For the first time in years, government opponents have won most of the seats in the National Assembly, handing a setback to President Nicolás Maduro."
Negotiators will discuss decades-old property claims from thousands of American citizens and companies whose assets were confiscated after Cuba’s revolution.,article,nyt://article/c0cbf11f-768c-5ebf-abbd-429d271fb404,"[{'name': 'Location', 'value': 'Cuba', 'rank': 1}, {'name': 'Person', 'value': 'Robles, Frances', 'rank': 2}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 3}, {'name': 'Organization', 'value': 'Foreign Claims Settlement Commission', 'rank': 4}, {'name': 'Person', 'value': 'Castro, Fidel', 'rank': 5}]",Foreign,4.0,A,2015-12-05 01:42:34+00:00,World,Negotiators will discuss decades-old property claims from thousands of American citizens and companies whose assets were confiscated after Cuba’s revolution.,The New York Times,Americas,News,nyt://article/c0cbf11f-768c-5ebf-abbd-429d271fb404,https://www.nytimes.com/2015/12/05/world/americas/cuba-and-us-to-discuss-settling-claims-on-property.html,727,By Frances Robles,Cuba and U.S. to Discuss Settling Claims on Property,,Cuba and U.S. Set to Discuss Settling Claims on Property,,,,0,0,,0,0,Cuba and U.S. to Discuss Settling Claims on Property,Cuba and U.S. to Discuss Settling Claims on Property Negotiators will discuss decades-old property claims from thousands of American citizens and companies whose assets were confiscated after Cuba’s revolution. Negotiators will discuss decades-old property claims from thousands of American citizens and companies whose assets were confiscated after Cuba’s revolution.
"Security forces arrested 13 people and seized weapons and bomb-making materials near the border with Mali,",article,nyt://article/2fe0bc48-1ee2-509d-8e09-1d24121b9c9e,"[{'name': 'Location', 'value': 'Burkina Faso', 'rank': 1}, {'name': 'Subject', 'value': 'Elections', 'rank': 2}]",Foreign,6.0,A,2015-11-28 00:26:07+00:00,World,"Security forces arrested 13 people and seized weapons and bomb-making materials near the border with Mali,",The New York Times,Africa,Brief,nyt://article/2fe0bc48-1ee2-509d-8e09-1d24121b9c9e,https://www.nytimes.com/2015/11/28/world/africa/burkina-faso-authorities-claim-to-disrupt-a-large-scale-attack.html,87,By The Associated Press,Burkina Faso: Authorities Claim to Disrupt a ‘Large-Scale Attack’,World Briefing,Africa; Burkina Faso: Authorities Claim to Disrupt a ‘Large-Scale Attack’,,,,0,0,,0,0,Burkina Faso: Authorities Claim to Disrupt a ‘Large-Scale Attack’,"Burkina Faso: Authorities Claim to Disrupt a ‘Large-Scale Attack’ Security forces arrested 13 people and seized weapons and bomb-making materials near the border with Mali, Security forces arrested 13 people and seized weapons and bomb-making materials near the border with Mali,"
Al Mourabitoun and Al Qaeda in the Islamic Maghreb have complicated histories but maintain ties to Al Qaeda and nomadic tribesmen.,article,nyt://article/a991bcfa-af2b-5957-aab6-20551d431431,"[{'name': 'Subject', 'value': 'Terrorism', 'rank': 1}, {'name': 'Person', 'value': 'Schmitt, Eric', 'rank': 2}, {'name': 'Organization', 'value': 'Al Murabitoun', 'rank': 3}, {'name': 'Organization', 'value': 'Al Qaeda in the Islamic Maghreb', 'rank': 4}, {'name': 'Location', 'value': 'Mali', 'rank': 5}]",Foreign,6.0,A,2015-11-21 02:00:41+00:00,World,Al Mourabitoun and Al Qaeda in the Islamic Maghreb have complicated histories but maintain ties to Al Qaeda and nomadic tribesmen.,The New York Times,Africa,News Analysis,nyt://article/a991bcfa-af2b-5957-aab6-20551d431431,https://www.nytimes.com/2015/11/21/world/africa/groups-claiming-responsibility-in-mali-attack-have-history-of-resilience.html,978,By Eric Schmitt,Groups Claiming Responsibility in Mali Attack Have History of Resilience,News Analysis,"In a Fertile Region for Terrorist Groups, Two of the Most Dangerous and Resilient",,,,0,0,,0,0,Groups Claiming Responsibility in Mali Attack Have History of Resilience,Groups Claiming Responsibility in Mali Attack Have History of Resilience Al Mourabitoun and Al Qaeda in the Islamic Maghreb have complicated histories but maintain ties to Al Qaeda and nomadic tribesmen. Al Mourabitoun and Al Qaeda in the Islamic Maghreb have complicated histories but maintain ties to Al Qaeda and nomadic tribesmen.
"In recent weeks, the group appears to have struck on three continents, killing hundreds of people.",article,nyt://article/fcb69737-d557-5225-98a7-d6169a9bf284,"[{'name': 'Person', 'value': 'Yourish, Karen', 'rank': 1}, {'name': 'Subject', 'value': 'Paris Attacks (November 2015)', 'rank': 2}, {'name': '', 'value': '', 'rank': 3}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 4}, {'name': 'Location', 'value': 'Paris (France)', 'rank': 5}, {'name': 'Location', 'value': 'Baghdad (Iraq)', 'rank': 6}, {'name': 'Location', 'value': 'El Arish (Egypt)', 'rank': 7}, {'name': 'Location', 'value': 'Beirut (Lebanon)', 'rank': 8}, {'name': 'Location', 'value': 'Dhaka (Bangladesh)', 'rank': 9}, {'name': 'Location', 'value': 'Sinai Peninsula (Egypt)', 'rank': 10}, {'name': 'Location', 'value': 'Ankara (Turkey)', 'rank': 11}, {'name': 'Location', 'value': 'Sana (Yemen)', 'rank': 12}, {'name': 'Subject', 'value': 'Terrorism', 'rank': 13}]",Foreign,11.0,A,2015-11-17 04:00:17+00:00,World,"In recent weeks, the group appears to have struck on three continents, killing hundreds of people.",The New York Times,Middle East,News,nyt://article/fcb69737-d557-5225-98a7-d6169a9bf284,https://www.nytimes.com/2015/11/17/world/middleeast/where-isis-claims-it-has-struck-and-why.html,585,By Russell Goldman and Karen Yourish,"Where ISIS Claims It Has Struck, and Why ",,"Where ISIS Claims It Has Struck, and Why ","Suicide bombers killed 43 people in a busy district of Beirut, Lebanon, on Nov. 12. The Islamic State claimed responsibility.",Khalil Hassan/Reuters,https://static01.nyt.com/images/2015/11/17/world/17STRIKES-1/17STRIKES-1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2015/11/17/world/17STRIKES-1/17STRIKES-1-thumbStandard-v2.jpg,75,75,"Where ISIS Claims It Has Struck, and Why","Where ISIS Claims It Has Struck, and Why In recent weeks, the group appears to have struck on three continents, killing hundreds of people. In recent weeks, the group appears to have struck on three continents, killing hundreds of people."
"The statement was issued online in Arabic, French and English and distributed via supporters on Twitter, according to a group that tracks jihadist propaganda.",article,nyt://article/ad1652e6-4109-536c-ac8b-709740b98259,"[{'name': 'Subject', 'value': 'Paris Attacks (November 2015)', 'rank': 1}, {'name': 'Subject', 'value': 'Terrorism', 'rank': 2}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 3}, {'name': 'Organization', 'value': 'Al Qaeda', 'rank': 4}, {'name': 'Location', 'value': 'France', 'rank': 5}]",Foreign,,,2015-11-14 11:22:18+00:00,World,"The statement was issued online in Arabic, French and English and distributed via supporters on Twitter, according to a group that tracks jihadist propaganda.",The New York Times,Europe,News,nyt://article/ad1652e6-4109-536c-ac8b-709740b98259,https://www.nytimes.com/2015/11/15/world/europe/isis-claims-responsibility-for-paris-attacks-calling-them-miracles.html,564,By Rukmini Callimachi,"ISIS Claims Responsibility, Calling Paris Attacks ‘First of the Storm’",,ISIS Calls Bloodshed ‘First of the Storm’,,Philippe Wojazer/Reuters,https://static01.nyt.com/images/2015/11/13/world/paris-friday13-roundup-photo2/paris-friday13-roundup-photo2-articleLarge.jpg,391,600,https://static01.nyt.com/images/2015/11/13/world/paris-friday13-roundup-photo2/paris-friday13-roundup-photo2-thumbStandard-v2.jpg,75,75,"ISIS Claims Responsibility, Calling Paris Attacks ‘First of the Storm’","ISIS Claims Responsibility, Calling Paris Attacks ‘First of the Storm’ The statement was issued online in Arabic, French and English and distributed via supporters on Twitter, according to a group that tracks jihadist propaganda. The statement was issued online in Arabic, French and English and distributed via supporters on Twitter, according to a group that tracks jihadist propaganda."
Questions of doping and corruption have spread to those in high office at the International Association of Athletics Federations.,article,nyt://article/b12d127f-0be6-5c6b-82bb-6d8647ea823a,"[{'name': 'Subject', 'value': 'Doping (Sports)', 'rank': 1}, {'name': 'Subject', 'value': 'Corruption (Institutional)', 'rank': 2}, {'name': 'Subject', 'value': 'Ethics and Official Misconduct', 'rank': 3}, {'name': 'Subject', 'value': 'Soccer', 'rank': 4}, {'name': 'Subject', 'value': 'Rugby', 'rank': 5}, {'name': 'Organization', 'value': 'International Assn of Athletics Federations', 'rank': 6}, {'name': 'Organization', 'value': 'International Federation of Association Football (FIFA)', 'rank': 7}, {'name': 'Person', 'value': 'Diack, Lamine (1933- )', 'rank': 8}, {'name': 'Person', 'value': 'Coe, Sebastian', 'rank': 9}]",Foreign,,,2015-11-13 08:48:23+00:00,World,Questions of doping and corruption have spread to those in high office at the International Association of Athletics Federations.,The New York Times,Europe,News,nyt://article/b12d127f-0be6-5c6b-82bb-6d8647ea823a,https://www.nytimes.com/2015/11/13/world/europe/claims-of-corruption-chip-away-at-trust-in-sports.html,654,By Alan Cowell,Claims of Corruption Chip Away at Trust in Sports,Letter From Europe,,"Sebastian Coe, the president of the International Association of Athletics Federations and an Olympic medalist, has promised to confront claims of corruption leveled against his organization “without fear or favor.”",Facundo Arrizabalaga/European Pressphoto Agency,https://static01.nyt.com/images/2015/11/13/world/europe/13Letter-web/13Letter-web-articleLarge.jpg,400,600,https://static01.nyt.com/images/2015/11/13/world/europe/13Letter-web/13Letter-web-thumbStandard.jpg,75,75,Claims of Corruption Chip Away at Trust in Sports,Claims of Corruption Chip Away at Trust in Sports Questions of doping and corruption have spread to those in high office at the International Association of Athletics Federations. Questions of doping and corruption have spread to those in high office at the International Association of Athletics Federations.
"The bombings, near a Palestinian refugee camp that has absorbed many Syrians, killed at least 43 people, according to the Lebanese Health Ministry.",article,nyt://article/8d168bf5-b3a1-5a20-94ef-786049962a0c,"[{'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 1}, {'name': 'Location', 'value': 'Beirut (Lebanon)', 'rank': 2}, {'name': 'Subject', 'value': 'Bombs and Explosives', 'rank': 3}, {'name': 'Subject', 'value': 'Terrorism', 'rank': 4}, {'name': 'Subject', 'value': 'Shiite Muslims', 'rank': 5}, {'name': 'Organization', 'value': 'Hezbollah', 'rank': 6}, {'name': 'Location', 'value': 'Syria', 'rank': 7}, {'name': 'Subject', 'value': 'Deaths (Fatalities)', 'rank': 8}, {'name': 'Subject', 'value': 'Refugees and Displaced Persons', 'rank': 9}]",Foreign,6.0,A,2015-11-12 17:27:08+00:00,World,"The bombings, near a Palestinian refugee camp that has absorbed many Syrians, killed at least 43 people, according to the Lebanese Health Ministry.",The New York Times,Middle East,News,nyt://article/8d168bf5-b3a1-5a20-94ef-786049962a0c,https://www.nytimes.com/2015/11/13/world/middleeast/lebanon-explosions-southern-beirut-hezbollah.html,804,By Anne Barnard and Hwaida Saad,ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut,,ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut,"In recent years, Beirut has been subjected to bombings and other attacks carried out in the name of rival factions in the Syrian civil war.",Hasan Shaaban/Reuters,https://static01.nyt.com/images/2015/11/13/world/middleeast/13lebanon-web2/13lebanon-web2-articleLarge.jpg,400,600,https://static01.nyt.com/images/2015/11/13/world/middleeast/13lebanon-web2/13lebanon-web2-thumbStandard-v2.jpg,75,75,ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut,"ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut The bombings, near a Palestinian refugee camp that has absorbed many Syrians, killed at least 43 people, according to the Lebanese Health Ministry. The bombings, near a Palestinian refugee camp that has absorbed many Syrians, killed at least 43 people, according to the Lebanese Health Ministry."
