pub_date,headline,happs_score
2015-12-24,ISIS Claims Major Counterattacks as Iraqi Forces Lay Siege to Ramadi,4.9142857142857155
2015-12-20,1940: Extreme Cold Weather in Shanghai Claims Hundreds of Lives,5.319999999999999
2015-12-17,"Navy SEALs, a Beating Death and Claims of a Cover-Up",4.38
2015-12-14,"In Talks Over Seized U.S. Property, Havana Counters With Own Claim",5.234285714285714
2015-12-13,Sunni Militants Claim Deadly Attack at Market in Pakistan,4.445714285714286
2015-12-10,Kim Jong-Un’s Claim of North Korea Hydrogen Bomb Draws Skepticism,4.99625
2015-12-10,Iraq: ISIS Claims Responsibility for Deadly Attack at Baghdad Mosque,4.2142857142857135
2015-12-09,U.S. Cautious on Iran Missile Test Claim,4.468
2015-12-07,Venezuelan Opposition Claims a Rare Victory: A Legislative Majority,5.042857142857144
2015-12-05,Cuba and U.S. to Discuss Settling Claims on Property,5.325714285714286
2015-11-28,Burkina Faso: Authorities Claim to Disrupt a ‘Large-Scale Attack’,4.945
2015-11-21,Groups Claiming Responsibility in Mali Attack Have History of Resilience,5.128571428571428
2015-11-17,"Where ISIS Claims It Has Struck, and Why",5.0233333333333325
2015-11-14,"ISIS Claims Responsibility, Calling Paris Attacks ‘First of the Storm’",4.95
2015-11-13,Claims of Corruption Chip Away at Trust in Sports,5.013333333333333
2015-11-12,ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut,4.765714285714286
2015-11-11,1965: Rhodesia Claims Independence,6.0
2015-11-07,Xi Again Defends China’s Claim to South China Sea Islands,5.699999999999999
2015-11-05,ISIS Claims It Struck Police in Bangladesh,4.664
2015-11-01,Al Qaeda Claims Responsibility for Attacks on 2 Publishers in Bangladesh,4.97
2015-10-30,Iran-Backed Militia Claims Responsibility for Attack on Iraqi Camp,4.837142857142857
2015-10-27,"Challenging Chinese Claims, U.S. Sends Warship Near Artificial Island Chain",5.602857142857142
2015-10-25,Fraud Claims Delay Elections in Two Ukrainian Cities,4.4799999999999995
2015-10-24,ISIS Claims Responsibility for Attack in Bangladesh,4.715999999999999
2015-10-17,Saudi Arabia: 5 Killed at Prayer Hall; New ISIS Branch Claims Responsibility,5.0375000000000005
2015-10-09,Syrian Asylum Claims in Canada Slowed by Stephen Harper’s Office,5.306666666666667
2015-10-08,Russia Denies U.S. Claim That Missiles Aimed at Syria Hit Iran,4.717499999999999
2015-10-06,BBC Casts Doubt on Claims of British Pedophile Ring,5.191428571428572
2015-10-04,Bangladesh Skeptical of Claims That ISIS Was Behind Shootings of Foreigners,4.760000000000001
2015-09-21,Deadly Car Bombing at Somalia’s Presidential Palace Is Claimed by Shabab,4.993333333333333
2015-08-26,Tehran Claims U.S. Is Holding 19 Iranians,5.18
2015-08-21,U.N. Details Sexual Abuse Claims Against Troops,4.516666666666667
2015-08-13,Bomb Claimed by ISIS Kills Dozens in Baghdad,4.134285714285714
2015-08-07,"In Britain, Edward Heath Case Intensifies Debate Over Validity of Sex Abuse Claims",5.06
2015-08-04,Russia Stakes New Claim to Expanse in the Arctic,5.391428571428572
2015-08-03,British Police to Review Sex Abuse Claims Against Ex-Premier Edward Heath,4.804444444444444
2015-07-20,"As U.S. and Cuba Relations Warm, Property Claims Issue Is Revived",5.245
2015-07-19,Egyptian Affiliate of Islamic State Claims Attack on Checkpoints,4.880000000000001
2015-07-16,Egypt ISIS Affiliate Claims Destruction of Naval Vessel,5.017142857142858
2015-07-13,Malaysia Investigates Leaks Claiming to Show Transfers to Najib Razak,5.400000000000001
2015-07-11,ISIS Claims Responsibility for Blast at Italian Consulate in Cairo,5.251428571428572
2015-07-01,Worried Greek Retirees Line Up to Claim Just a Part of Pensions,5.07
2015-06-24,Shabab Claim Responsibility for Deadly Car Bomb in Mogadishu,4.742857142857142
2015-06-18,Canadian Senator Expelled From Party’s Caucus Over Claims of Affair With Teenager,4.9775
2015-06-17,ISIS Claims Responsibility for Deadly Bombings in Yemen,4.811999999999999
